id;qtdCommitContributions;qtdIssueContributions;qtdPullRequestContributions;qtdPullRequestReviewContributions;qtdRepositoriesWithContributedCommits;qtdRepositoriesWithContributedIssues;qtdRepositoriesWithContributedPullRequestReviews;qtdRepositoryContributions;qtdRepositoriesWithContributedPullRequests;qtdissue;qtdIssueClosed;qtdIssueOpen;QTdtoalComentsIssue;avgIssueComment;QtdIssueReaction;qtdIssueReactionHeatr;issueReactionthumbsUP;qtsIssueReactionHooray;qtdRepository;qtdTotalStars;avgQtdSTartRepository;QtdtotalWatchers;avgQtdWatchersRepository;qtdRepositoryLanguages;qtdPullRequests;qtdPullRequestsmergedAndClosed;qtdpullrequestsclosedandnotmerged;qtdpullrequestnotmergedandopen;sum(ncloc);avg(ncloc);avg(qtdBugs);sum(qtdBugs);sum(qtdCodeSmells);avg(qtdCodeSmells);avg(reliabilityRating);sum(qtdDuplicatedFiles);avg(qtdDuplicatedFiles);sum(commentLinesDensity);avg(commentLinesDensity);sum(fileComplexity);avg(fileComplexity);sum(qtdViolation);avg(manutenibilityRating);avg(securityRating);qtdFollowers;Expertise
638;137;0;0;0;2;0;0;3;0;13;7;6;116;8.9231;14;0;2;11;18;1847;103;82;4.5556;47;52;9;23;20;12;12;0;0;0;0;1;0;0;0;0;4;4;0;1;1;104;1
640;438;4;6;0;39;4;0;18;4;15;1;14;105;7;78;7;43;22;69;24936;361;603;8.7391;186;274;231;16;27;1552;776;0;0;117;58.5;1;0;0;1.799999952;0.899999976;57.79999924;28.89999962;117;1;1;3410;1
642;1282;1;0;0;34;1;0;9;0;79;40;39;370;4.6835;54;0;54;0;49;709;14;67;1.3673;151;146;7;25;114;2963;1481.5;0.5;1;27;13.5;2.5;1;0.5;0.800000027;0.400000013;4.599999905;2.299999952;28;1;1;78;2.5
649;1941;88;326;30;42;16;10;5;23;100;70;30;92;0.92;0;0;0;0;100;290;2.9;123;1.23;239;586;533;44;9;394;394;0;0;7;7;1;0;0;25.39999962;25.39999962;6.699999809;6.699999809;7;1;1;142;1
652;540;37;16;0;41;27;0;28;14;100;92;8;202;2.02;1;0;1;0;100;3840;38;426;4.26;269;179;150;22;7;3866;3866;0;0;74;74;1;1;1;12.30000019;12.30000019;24.20000076;24.20000076;75;1;4;411;1
656;61;5;5;3;14;5;3;2;3;100;76;24;385;3.85;0;0;0;0;100;2009;20;149;1.49;192;179;93;69;17;2299;2299;3;3;67;67;3;3;3;2;2;16.10000038;16.10000038;70;1;1;698;3
673;6061;4;1;0;17;3;0;6;1;77;72;5;150;1.9481;3;0;3;0;100;4066;41;316;3.16;149;187;124;62;1;89;89;0;0;0;0;1;0;0;0;0;5;5;0;1;1;346;1
676;464;2;1;0;7;2;0;3;1;30;24;6;93;3.1;1;0;1;0;27;1848;68;178;6.5926;120;11;11;0;0;8630;8630;2540;2540;1614;1614;3;41;41;4.5;4.5;2;2;4154;1;1;425;3
681;235;3;41;35;8;1;5;4;5;42;38;4;45;1.0714;4;0;4;0;48;3349;70;187;3.8958;99;391;266;109;16;6284;6284;193;193;148;148;5;11;11;7.900000095;7.900000095;24.29999924;24.29999924;341;1;1;93;5
684;3871;123;2048;153;114;63;31;74;105;100;64;36;110;1.1;9;0;9;0;100;512;5.12;48;0.48;232;472;457;13;2;370;185;0;0;2;1;1;0;0;11.9000001;5.950000048;3.499999955;1.749999978;2;1;1;1071;1
