qtdActivityPostAnswer;QtdfActivityBadgeEarned;QtdActivityCommentPosted;qtsActivityQUestionPosted;qtdANswe;qtdTotalScoreAnswer;avgScoreANsw;qtdTotalBadges;QtdTotalBadgesBronze;qtdTotalBadgesSilver;qtdTotalBadgesGo;qtdComment;qtdTotalScoreCommen;AvgScoreCommen;qtdQuestion;QtdTotalScoreQuesdti;avgScoreQuesti;QtdTotalViewsQuestion;avgQTdViewsQUesti;userScore;qtdCommitContributions;qtdIssueContributions;qtdPullRequestContributions;qtdPullRequestReviewContributions;qtdRepositoriesWithContributedCommits;qtdRepositoriesWithContributedIssues;qtdRepositoriesWithContributedPullRequestReviews;qtdRepositoryContributions;qtdRepositoriesWithContributedPullRequests;qtdissue;qtdIssueClosed;qtdIssueOpen;QTdtoalComentsIssue;avgIssueComment;QtdIssueReaction;qtdIssueReactionHeatr;issueReactionthumbsUP;qtsIssueReactionHooray;qtdRepository;qtdTotalStars;avgQtdSTartRepository;QtdtotalWatchers;avgQtdWatchersRepository;qtdRepositoryLanguages;qtdPullRequests;qtdPullRequestsmergedAndClosed;qtdpullrequestsclosedandnotmerged;qtdpullrequestnotmergedandopen;sum(ncloc);avg(ncloc);avg(qtdBugs);sum(qtdBugs);sum(qtdCodeSmells);avg(qtdCodeSmells);avg(reliabilityRating);sum(qtdDuplicatedFiles);avg(qtdDuplicatedFiles);sum(commentLinesDensity);avg(commentLinesDensity);sum(fileComplexity);avg(fileComplexity);sum(qtdViolation);avg(manutenibilityRating);avg(securityRating);qtdFollowers
0;0;0;0;2;0;0;5;4;1;0;1;0;0;3;-1;-0,33;175;58,33;12;142;6;4;0;9;4;0;2;3;49;34;15;144;2,94;35;0;35;0;85;4636;55;511;6,01;132;207;161;30;16;97;97;0;0;5;5;1;0;0;15,7;15,7;4;4;5;1;1;1650
1;1;0;0;5;12;2,4;10;9;1;0;3;0;0;3;11;3,67;4052;1350,67;17;1074;6;53;28;31;4;11;16;12;100;71;29;153;1,53;35;3;27;4;100;6549;65;446;4,46;226;321;238;59;24;6015;3007,5;3;6;16;8;2;2;1;1,2;0,6;15,1;7,55;24;1;2,5;4833
3;2;0;0;16;4;0,25;4;4;0;0;12;2;0,17;0;0;0;0;0;23;34;1;15;12;5;1;4;0;4;97;86;11;452;4,66;35;0;35;0;76;12572;165;268;3,53;211;655;436;182;37;294;294;4;4;0;0;3;0;0;6,1;6,1;1,8;1,8;4;1;1;590
18;6;7;5;1;0;0;6;5;1;0;1;0;0;2;5;2,5;9127;4563,5;8;136;0;2;0;6;0;0;5;2;0;0;0;0;0;0;0;0;0;44;3431;78;287;6,52;66;16;3;4;9;94;94;0;0;6;6;1;0;0;13,8;13,8;15;15;6;1;1;448
0;0;0;0;15;77;5,13;52;29;22;1;20;14;0,7;22;77;3,5;69931;3178,68;63;11;0;0;0;3;0;0;2;0;26;13;13;2;0,08;0;0;0;0;65;797;12,26;182;2,8;119;51;33;6;12;3241;1620,5;1;2;45;22,5;2;0;0;65,2;32,6;11,1;5,55;47;1;1;48
0;0;0;0;5;9;1,8;3;3;0;0;5;3;0,6;0;0;0;0;0;6;2;0;1;0;2;0;0;3;1;0;0;0;0;0;0;0;0;0;43;568;13;54;1,26;95;77;67;5;5;398;398;0;0;1;1;1;0;0;9,8;9,8;7,1;7,1;1;1;1;32
0;0;0;0;2;1;0,5;8;8;0;0;20;2;0,1;6;4;0,67;1758;293;17;1;0;0;0;1;0;0;0;0;12;5;7;7;0,58;0;0;0;0;19;1112;59;105;5,53;56;145;118;23;4;58627;58627;21;21;519;519;5;16;16;20,7;20,7;27,2;27,2;549;1;3;165
0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;209;18;1;0;29;6;0;11;1;100;43;57;177;1,77;8;0;8;0;100;1068;10,68;178;1,78;191;144;29;18;97;1339;1339;0;0;6;6;1;0;0;25,9;25,9;11;11;6;1;1;243
0;0;0;0;170;108;0,64;57;36;19;2;266;31;0,12;24;9;0,38;17808;742;158;0;5;0;0;0;3;0;1;0;29;19;10;98;3,38;0;0;0;0;58;1080;19;92;1,59;135;2;1;0;1;312;312;1;1;24;24;5;0;0;9,8;9,8;12,8;12,8;25;1;1;281
0;0;0;0;3;0;0;4;4;0;0;1;0;0;1;0;0;50;50;9;8;0;3;1;2;0;1;0;2;6;5;1;35;5,83;0;0;0;0;35;608;17;57;1,63;84;118;103;9;6;3289;3289;1;1;76;76;3;4;4;10,4;10,4;10,8;10,8;77;1;1;44
2;1;0;1;1;0;0;4;4;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;1;0;10;4;6;14;1,4;5;0;5;0;13;592;46;72;5,54;43;81;33;36;12;6626;6626;0;0;45;45;1;4;4;15,6;15,6;11,7;11,7;45;1;1;19
5;1;3;1;7;2;0,29;3;3;0;0;4;0;0;0;0;0;0;0;19;522;86;7;2;16;15;2;7;4;100;90;10;55;0,55;0;0;0;0;39;1096;28;112;2,87;72;45;40;2;3;111;111;1;1;1;1;2;0;0;0;0;1;1;2;1;1;227
0;0;0;0;9;20;2,22;44;29;14;1;49;2;0,04;37;129;3,49;100947;2728,3;60;39;1;5;2;4;1;1;6;2;7;4;3;10;1,43;2;0;2;0;85;602;7,08;44;0,52;215;28;25;2;1;1178;1178;0;0;11;11;1;0;0;20,6;20,6;24,2;24,2;11;1;1;38
20;5;11;3;20;64;3,2;38;22;15;1;94;61;0,65;22;38;1,73;35141;1597,32;68;376;25;62;20;37;22;7;28;23;79;60;19;207;2,62;10;1;3;1;100;1506;15;117;1,17;217;379;255;37;87;213;106,5;0,5;1;1;0,5;2;0;0;11,7;5,85;12,4;6,2;2;1;1;781
0;0;0;0;11;1;0,09;13;12;1;0;16;1;0,06;6;7;1,17;8397;1399,5;22;14530;686;766;285;198;99;44;99;89;100;79;21;61;0,61;0;0;0;0;100;229;2,29;78;0,78;201;402;338;27;37;984;328;0;0;9;3;1;1;0,33;69,5;23,17;39,9;13,3;9;1;1;3011
2;1;0;1;2;-1;-0,5;0;0;0;0;0;0;0;0;0;0;0;0;8;53;1;0;0;2;1;0;2;0;17;10;7;20;1,18;1;0;1;0;73;916;12,55;130;1,78;212;24;21;3;0;877;438,5;2,5;5;15;7,5;3;0;0;9,3;4,65;9,9;4,95;20;1;1;156
0;0;0;0;62;296;4,77;57;35;19;3;107;24;0,22;23;82;3,57;58407;2539,43;101;122;32;94;34;26;18;6;24;23;100;79;21;653;6,53;0;0;0;0;81;865;10,68;108;1,33;188;182;160;15;7;3956;3956;3;3;79;79;3;2;2;17,3;17,3;429;429;82;1;1;125
0;0;0;0;1;3;3;1;1;0;0;0;0;0;0;0;0;0;0;2;73;0;15;1;6;0;1;9;4;9;6;3;35;3,89;0;0;0;0;100;421;4,21;162;1,62;214;50;40;6;4;445;148,33;0,33;1;3;1;1,67;0;0;9,1;3,03;17,6;5,87;4;1;1;360
0;0;0;0;8;11;1,38;15;12;3;0;72;3;0,04;9;13;1,44;9003;1000,33;39;32;1;1;1;5;1;1;3;1;100;82;18;422;4,22;292;10;225;18;59;3081;52;487;8,25;114;37;25;7;5;9545;9545;7;7;327;327;5;4;4;21,2;21,2;47,2;47,2;334;1;1;598
14;9;2;3;87;63;0,72;28;20;7;1;182;51;0,28;1;3;3;1572;1572;75;1417;74;158;45;58;29;18;36;33;100;63;37;251;2,51;25;1;18;2;100;602;6,02;62;0,62;280;248;157;48;43;4284;2142;0,5;1;12;6;2;3;1,5;30,8;15,4;28,1;14,05;13;1;1;1019
12;7;2;3;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;6;2237;144;113;78;78;40;28;24;55;100;86;14;188;1,88;2;0;2;0;100;977;9,77;102;1,02;274;118;86;24;8;15492;15492;6085;6085;113;113;4;22;22;0,9;0,9;7;7;6198;1;1;1333
0;0;0;0;1;1;1;7;5;1;1;0;0;0;2;4;2;14026;7013;9;53;4;2;0;6;4;0;3;2;100;66;34;337;3,37;46;2;41;1;100;1232;12,32;194;1,94;249;123;71;33;19;16338;8169;43,5;87;88;44;2;0;0;32,6;16,3;26,8;13,4;175;1;1;82
78;37;26;15;2;12;6;14;10;3;1;3;0;0;4;-2;-0,5;18806;4701,5;18;344;58;50;0;16;4;0;13;5;81;44;37;156;1,93;33;0;33;0;53;1084;20;139;2,62;171;26;20;5;1;332;332;0;0;2;2;1;0;0;8,3;8,3;27;27;2;1;1;97
0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3;171;1;2;1;7;1;1;0;1;100;78;22;36;0,36;0;0;0;0;39;4156;107;134;3,44;74;67;39;13;15;3998;1332,67;0,67;2;121;40,33;2,33;10;3,33;40,3;13,43;40,9;13,63;123;1;1;119
2;1;0;0;4;20;5;37;23;13;1;9;2;0,22;18;37;2,06;79181;4398,94;33;72;5;0;1;5;2;1;0;0;100;51;49;56;0,56;0;0;0;0;100;17204;172;588;5,88;152;236;182;31;23;4055;1351,67;0,67;2;26;8,67;1,67;8;2,67;53,1;17,7;39,8;13,27;28;1;1;4478
96;22;53;10;1;1;1;3;3;0;0;5;0;0;2;-2;-1;415;207,5;4;165;4;28;77;14;4;10;11;10;17;14;3;29;1,71;1;0;1;0;100;5345;53;210;2,1;216;152;61;18;73;315;157,5;0;0;9;4,5;1;0;0;56,1;28,05;31,7;15,85;9;1;1;288
